bedrooms,beds,bath,zipcode,host_is_superhost,review_scores_rating,time_quarter,has_pool,is_petfriendly,has_workspace,has_freeparking,has_gym,home_price_aprx,price,occupancy_rate
2,3,2.0,78704,0,5.0,Q3,0,1,1,1,0,802000,643.0,0.0149253731343283
4,4,3.0,78744,0,5.0,Q3,0,1,1,1,1,358000,550.0,0.0081665986116782
1,1,1.0,78753,1,4.94,Q3,0,1,0,0,0,364000,122.0,0.7
1,3,1.5,78704,1,4.95,Q3,0,0,1,0,0,802000,149.0,0.4597701149425287
1,1,1.0,78704,1,4.92,Q3,0,0,1,1,0,802000,80.0,0.256797583081571
2,3,2.0,78742,1,4.69,Q3,0,0,1,1,1,527000,150.0,0.0409577819785759
3,3,1.0,78741,1,4.94,Q3,0,0,1,1,0,397000,170.0,0.7
2,2,2.5,78702,1,4.97,Q3,0,1,1,1,0,613000,260.0,0.1749589939857845
2,2,1.5,78704,0,5.0,Q3,0,1,1,0,0,802000,150.0,0.0343445907269605
4,7,3.5,78741,0,5.0,Q3,0,0,1,1,0,397000,271.0,0.0471327572663
2,2,2.5,78745,0,3.0,Q3,0,0,1,1,0,456000,150.0,0.0089285714285714
2,2,1.5,78704,0,4.8,Q3,0,0,1,1,1,802000,184.0,0.1016260162601626
3,2,2.0,78756,0,4.88,Q3,0,0,1,0,0,728000,399.0,0.0271554650373387
3,3,2.5,78702,1,4.95,Q3,0,0,1,1,0,613000,143.0,0.1772303995193752
1,1,1.0,78751,0,4.64,Q3,1,0,1,1,0,636000,120.0,0.3470031545741325
2,2,1.0,78704,1,4.92,Q3,0,0,1,0,0,802000,175.0,0.1317923763179237
3,3,2.5,78704,1,5.0,Q3,1,1,1,1,1,802000,942.0,0.1292090837901331
4,4,2.0,78745,1,4.78,Q3,0,0,1,1,0,456000,264.0,0.0190597204574332
6,8,4.0,78723,1,4.81,Q3,0,1,1,1,0,502000,419.0,0.0962962962962963
1,1,1.0,78705,1,4.84,Q3,0,1,1,0,0,353000,146.0,0.3225806451612903
2,2,2.0,78727,0,4.47,Q3,1,1,1,1,0,474000,90.0,0.1475409836065573
1,2,1.0,78703,0,4.46,Q3,1,1,1,1,0,1324000,79.0,0.2771855010660981
3,3,2.0,78702,1,5.0,Q3,0,1,1,0,0,613000,240.0,0.0223338916806253
2,2,2.0,78704,0,5.0,Q3,0,0,1,1,0,802000,241.0,0.0380228136882129
2,3,1.0,78734,1,4.85,Q3,1,1,1,1,0,648000,131.0,0.7
2,2,2.0,78723,1,4.63,Q3,0,1,1,1,0,502000,120.0,0.134453781512605
3,4,2.5,78753,0,4.82,Q3,0,1,1,1,0,364000,255.0,0.167046317388003
4,5,4.0,78704,1,4.97,Q3,1,0,1,1,0,802000,1696.0,0.128369704749679
3,3,2.5,78752,0,4.95,Q3,0,0,1,1,0,422000,259.0,0.1109963861641714
2,1,1.5,78704,0,5.0,Q3,0,1,1,0,0,802000,157.0,0.1088139281828074
2,2,2.5,78722,0,5.0,Q3,0,1,1,1,0,595000,218.0,0.0113378684807256
3,3,2.0,78738,0,4.92,Q3,0,1,1,1,0,883000,250.0,0.6329113924050633
1,1,1.0,78759,0,4.67,Q3,1,1,1,1,1,661000,67.0,0.0170164492342597
